grid_point, number_obs_available, analysis_value
[17, 6],90.0,5549.194484902967
[17, 7],96.0,5567.312667705444
[17, 8],97.0,5588.928963850429
[17, 9],97.0,5608.748817661003
[17, 10],96.0,5630.361060529621
[17, 11],95.0,5646.935210235858
[17, 12],96.0,5657.723081849285
[17, 13],93.0,5676.924710637997
[17, 14],91.0,5685.858271407956
[17, 15],89.0,5696.040116497424
[17, 16],89.0,5711.3107208338415
[17, 17],87.0,5721.846858475578
[17, 18],87.0,5736.663021237331
[17, 19],82.0,5747.325171384298
[17, 20],80.0,5760.234866102616
[17, 21],78.0,5772.750356930318
[18, 0],60.0,5368.051617792388
[18, 1],68.0,5413.145440324703
[18, 2],74.0,5447.226887863232
[18, 3],78.0,5481.489761711159
[18, 4],80.0,5513.82062147225
[18, 5],84.0,5550.3962296462105
[18, 6],90.0,5571.268319423687
[18, 7],91.0,5595.356336105579
[18, 8],93.0,5613.518821653298
[18, 9],95.0,5631.514245711904
[18, 10],94.0,5655.1212661841155
[18, 11],93.0,5675.965401238836
[18, 12],94.0,5687.583554348105
[18, 13],93.0,5700.775107218879
[18, 14],91.0,5715.773785399821
[18, 15],91.0,5724.617594867677
[18, 16],88.0,5729.06666878052
[18, 17],87.0,5741.323350682392
[18, 18],86.0,5757.210915210452
[18, 19],83.0,5768.984871182496
[18, 20],80.0,5780.191728577222
[18, 21],76.0,5794.821139633838
[19, 0],57.0,5381.717081655316
[19, 1],67.0,5427.119938433307
[19, 2],70.0,5462.506296552878
[19, 3],74.0,5501.7600774847
[19, 4],78.0,5536.011932227142
[19, 5],80.0,5569.111588105619
[19, 6],88.0,5587.842891684185
[19, 7],90.0,5611.932468251708
[19, 8],91.0,5635.767034925968
[19, 9],92.0,5655.238905705976
[19, 10],93.0,5675.674573855228
[19, 11],91.0,5698.8881257551675
[19, 12],92.0,5712.766946710659
[19, 13],92.0,5723.91219803993
[19, 14],91.0,5739.269711633036
[19, 15],89.0,5751.964460196643
[19, 16],86.0,5761.83590434989
[19, 17],85.0,5772.243546352029
[19, 18],82.0,5785.535592079965
[19, 19],81.0,5799.522844673304
[19, 20],78.0,5810.635453049227
[19, 21],76.0,5811.373212714617
[20, 0],56.0,5391.282265954011
[20, 1],62.0,5432.852945796799
[20, 2],70.0,5471.2677235210585
[20, 3],73.0,5512.43368697152
[20, 4],75.0,5551.994155764751
[20, 5],79.0,5587.90075583358
[20, 6],84.0,5608.432789388855
[20, 7],86.0,5632.406814072312
[20, 8],89.0,5653.425063335961
[20, 9],88.0,5679.578731613241
[20, 10],90.0,5697.680240682007
[20, 11],90.0,5717.837623515711
[20, 12],89.0,5739.211326252607
[20, 13],90.0,5745.859392625205
[20, 14],89.0,5762.720884920399
[20, 15],85.0,5775.38229558705
[20, 16],84.0,5787.894797617879
[20, 17],83.0,5803.556184079944
[20, 18],80.0,5814.200351998547
[20, 19],79.0,5828.77456465783
[20, 20],76.0,5830.50411608208
[20, 21],74.0,5838.175216834338
[21, 0],57.0,5399.494392416827
[21, 1],59.0,5439.150178568088
[21, 2],66.0,5482.682667856414
[21, 3],73.0,5523.349193679159
[21, 4],75.0,5561.080662789709
[21, 5],77.0,5597.233708348935
[21, 6],80.0,5624.629654229446
[21, 7],83.0,5650.82091440963
[21, 8],84.0,5676.537523187598
[21, 9],85.0,5701.648250609469
[21, 10],84.0,5726.192547349605
[21, 11],85.0,5745.184914239605
[21, 12],88.0,5757.365630653027
[21, 13],87.0,5769.2543770753255
[21, 14],85.0,5776.919047417809
[21, 15],85.0,5794.398139367193
[21, 16],81.0,5807.844185114681
[21, 17],80.0,5826.184026178808
[21, 18],79.0,5840.7245134093955
[21, 19],77.0,5843.331127331091
[21, 20],75.0,5855.221423582814
[21, 21],71.0,5861.256011973967
[22, 0],49.0,5410.981590284909
[22, 1],57.0,5450.891024788955
[22, 2],63.0,5491.922888738437
[22, 3],67.0,5533.7325349959365
[22, 4],73.0,5572.733560710252
[22, 5],75.0,5608.115686727485
[22, 6],76.0,5638.588907500511
[22, 7],80.0,5664.922309091674
[22, 8],83.0,5690.061301579581
[22, 9],83.0,5715.909173524064
[22, 10],83.0,5740.769136983084
[22, 11],84.0,5760.900746684749
[22, 12],85.0,5780.23035817848
[22, 13],83.0,5790.147461429666
[22, 14],83.0,5797.058672455691
[22, 15],83.0,5812.001620845074
[22, 16],81.0,5824.538256828934
[22, 17],79.0,5844.310251149862
[22, 18],79.0,5850.968604643612
[22, 19],78.0,5860.942952155785
[22, 20],75.0,5866.597950709915
[22, 21],70.0,5873.752808112104
[23, 0],49.0,5416.220737677211
[23, 1],53.0,5457.564368922816
[23, 2],57.0,5498.671358381539
[23, 3],66.0,5538.205942596847
[23, 4],71.0,5576.820740291067
[23, 5],74.0,5614.786265365871
[23, 6],73.0,5653.394693754653
[23, 7],75.0,5676.245613895082
[23, 8],80.0,5700.436469418625
[23, 9],81.0,5729.128307320234
[23, 10],82.0,5753.280677436956
[23, 11],83.0,5775.479711600895
[23, 12],82.0,5795.945113289772
[23, 13],81.0,5806.879915549563
[23, 14],78.0,5819.346436145061
[23, 15],77.0,5840.224149123124
[23, 16],76.0,5849.47474315994
[23, 17],77.0,5863.085345818441
[23, 18],76.0,5863.626725397223
[23, 19],76.0,5874.956411490174
[23, 20],73.0,5887.0043751357425
[23, 21],66.0,5889.156729954815
[24, 0],45.0,5420.9711054198
[24, 1],52.0,5462.065484340621
[24, 2],56.0,5504.386045812415
[24, 3],62.0,5541.7415844564
[24, 4],68.0,5580.176861439615
[24, 5],69.0,5622.825517001191
[24, 6],70.0,5658.917088046797
[24, 7],73.0,5690.362872602986
[24, 8],77.0,5713.074190411294
[24, 9],79.0,5737.126243982634
[24, 10],80.0,5763.241081420858
[24, 11],80.0,5787.439505649418
[24, 12],77.0,5810.977769943985
[24, 13],76.0,5820.9161414480905
[24, 14],77.0,5835.250107818001
[24, 15],77.0,5854.783201785352
[24, 16],75.0,5870.604375548501
[24, 17],76.0,5871.713757737199
[24, 18],74.0,5880.469722816074
[24, 19],72.0,5894.461846135316
[24, 20],67.0,5908.697989040897
[24, 21],63.0,5911.901127129563
[25, 0],42.0,5423.961498482906
[25, 1],47.0,5465.2641161400625
[25, 2],56.0,5506.967052092747
[25, 3],57.0,5552.918079875035
[25, 4],62.0,5589.874125743996
[25, 5],68.0,5625.703557313896
[25, 6],68.0,5659.379960275085
[25, 7],70.0,5693.731110699634
[25, 8],73.0,5723.327630164032
[25, 9],76.0,5747.2407263041105
[25, 10],77.0,5776.8592409981975
[25, 11],77.0,5800.114847566603
[25, 12],75.0,5813.0208051254995
[25, 13],74.0,5829.887984771462
[25, 14],75.0,5846.273125200732
[25, 15],76.0,5866.2333256582615
[25, 16],75.0,5876.038259066197
[25, 17],73.0,5889.016724650652
[25, 18],70.0,5901.086325729535
[25, 19],69.0,5909.485113115752
[25, 20],65.0,5917.302889025509
[25, 21],60.0,5922.304126608917
[26, 0],41.0,5424.088510924827
[26, 1],42.0,5480.255815504061
[26, 2],51.0,5518.726927817384
[26, 3],56.0,5556.172002985208
[26, 4],58.0,5592.377895042633
[26, 5],62.0,5626.944908800864
[26, 6],67.0,5669.51962428953
[26, 7],65.0,5708.678410112155
[26, 8],66.0,5737.977143198293
[26, 9],70.0,5760.094620265815
[26, 10],72.0,5782.3709243511885
[26, 11],73.0,5795.849733185348
[26, 12],73.0,5818.537843765718
[26, 13],72.0,5835.815511552602
[26, 14],70.0,5855.684429571811
[26, 15],69.0,5876.294259961115
[26, 16],69.0,5885.061817224784
[26, 17],66.0,5897.496904772725
[26, 18],63.0,5908.249085736176
[26, 19],63.0,5917.741050872735
[26, 20],59.0,5928.387175354727
[26, 21],57.0,5927.661850054452
[27, 0],39.0,5443.317089110293
[27, 1],41.0,5482.979739263079
[27, 2],44.0,5521.010882412564
[27, 3],51.0,5557.142835738992
[27, 4],54.0,5591.663147278545
[27, 5],59.0,5640.239518567283
[27, 6],59.0,5682.002005545547
[27, 7],62.0,5714.416044233102
[27, 8],64.0,5744.625042677892
[27, 9],64.0,5771.628570766655
[27, 10],66.0,5790.13383132023
[27, 11],66.0,5802.3477726462115
[27, 12],67.0,5820.471398113756
[27, 13],68.0,5843.157105341036
[27, 14],67.0,5862.7233551255895
[27, 15],66.0,5879.21220779424
[27, 16],65.0,5892.386862724045
[27, 17],64.0,5904.022151598573
[27, 18],62.0,5914.47075479878
[27, 19],60.0,5926.254662666025
[27, 20],59.0,5933.436782029522
[27, 21],54.0,5941.133580327885
